ticker,fecha_deteccion,veredicto,razon,retorno_12m,exceso_12m,exceso_24m
GRC,2015-09-27,NADA_INTERESANTE,"Directivos compran en contexto de deterioro: ventas cayeron 5.3% YoY, márgenes operativos se contrajeron 270bps (12.2% a 9.5%), caja operativa desapareció en T-4 y T-0, y el MD&A detalla headwinds significativos (caída en oil/gas, dólar fuerte, clima agrícola adverso) sin catalizador claro de recuperación a corto plazo más allá del proyecto PCCP ya conocido.",0.03655036463946515,-0.07373959476255298,-0.011632999711285619
CORI,2016-07-11,NADA_INTERESANTE,"Caída de ingresos de 36% desde T-7 ($11.1M → $7.0M en T-1), márgenes volátiles (43-62%), flujo operativo cronicamente negativo, y MD&A lleno de advertencias sobre divestiduras, competencia y dependencia de socios que controlan precios; las compras de directivos parecen apuestas especulativas sin mejora fundamental visible.",1.3030302519458208,1.1045602597367925,0.576982980438119
SYNT,2017-01-20,NADA_INTERESANTE,"Caída de ingresos (-4.9% YoY), margen bruto estancado en 40%, caja operativa ausente en T-0, headcount reduciéndose (-5.3%), clientes concentrados (71.9% en top 10), ciclos de decisión alargándose, y compensación salarial presionando márgenes: las compras de insiders parecen defensivas ante deterioro fundamental, no catalizadores genuinos.",0.11948792980233569,-0.06819708935180957,
HL,2018-02-05,NADA_INTERESANTE,"Volatilidad de ingresos sin tendencia clara (140.8M en T-0 vs picos de 179.4M en T-3), márgenes erráticos (16%-34%), operaciones paralizadas por huelga desde marzo, proyectos clave (Rock Creek, Montanore) bloqueados judicialmente, y deuda de $506.5M a 6.875% sin refinanciamiento viable; las compras insider de ~$133k parecen simbólicas frente a los riesgos operacionales y de permiso no resueltos.",-0.32009622708437113,-0.3650701536761588,-0.37962662851658946
WTRE,2019-07-01,INTERESANTE,"Compras masivas de directivos ($1.3M total) con caja operativa fuerte (+70.3M en T-0) y ROE anualizado mejorando (5.4% a 20.8%), pero contrapesadas por márgenes de underwriting débiles (combined ratio 104.1%), mercado competitivo sin ciclicidad clara, y dependencia crítica de outsourcing (Arch, HPS) que limita visibilidad real sobre calidad operativa.",-0.17151013367196533,-0.09253773827854272,-0.5351208964685575
ALXO,2020-09-19,NADA_INTERESANTE,"Empresa clínica pre-ingresos con colapso de revenue (1.3M → 0.5M en 4 trimestres), flujo operativo negativo de -$9M, déficit acumulado de $89.6M, sin catalizadores visibles en MD&A, y compras insider masivas ($163M) que parecen especulativas en un activo de riesgo extremo sin justificación fundamental clara.",0.8848669094468709,0.383842521440398,-0.8769263349238956
IESC,2022-07-02,NADA_INTERESANTE,"Crecimiento de ingresos enmascarado por colapso de márgenes (20% → 12% → 15%), pérdidas operativas recientes, y compras de insiders coinciden con crisis de ejecución explícita (pérdida de $9.3M en proyectos nuevos) y presiones de cadena de suministro sin catalizador visible de recuperación.",0.7712609861321649,0.6801949444480289,3.4029153203074203
BOOT,2022-10-04,NADA_INTERESANTE,"Crecimiento desacelerado (T-2: +55% → T-1: -25% → T-0: -4%), márgenes estables pero sin mejora, flujo operativo negativo en T-1 (-$25.8M), y MD&A ilegible (solo XML/XBRL sin narrativa interpretable). Las compras de directivos (~$536k combinadas) carecen de justificación fundamental clara.",0.437976947177916,0.3739660943110743,1.507992250690862
ASTC,2022-12-13,NADA_INTERESANTE,"Ingresos desplomados a $0.0M en T-0 tras volatilidad extrema (T-2: $0.6M), márgenes erráticos e inestables, flujo operativo persistentemente negativo (-$2.4M en T-0), y MD&A irrelegible/sin sustancia. Las compras de insiders parecen apuestas especulativas sin fundamento operacional claro.",-0.1640000343322754,-0.3160049940670937,-0.5845799830885259
TMCI,2023-01-16,INTERESANTE,"Crecimiento de revenue sólido pero desacelerando (130% anual T-7 a T-0, pero 3.7% T-1 a T-0); márgenes estables en 82% pero flujo de caja operativa catastrófico (-$7.2M en T-2); compras de directivos significativas ($664k) sugieren confianza en recuperación post-IPO/deuda, pero los fundamentales operacionales (caja negativa, warnings COVID/macro, pérdidas acumuladas $80.3M) no justifican plenamente el timing de las compras.",-0.5055449141952035,-0.5672545244327292,-0.8907472015031448
