empresa_id,ticker,fecha_deteccion,market_cap_historico
99939,DWCH,2015-04-10,81610095.23838997
101093,SPDC,2015-04-12,559791312.1815872
83484,HTH,2015-05-02,1135727465.548975
82969,BXMT,2015-06-16,1717213588.8192425
84977,CSWC,2015-07-05,69762702.87459755
84192,BBSI,2015-07-06,68410779.45518494
105431,ENCR,2015-07-07,738939500.0
82104,NEWT,2015-07-11,136299805.71365356
102690,LAYN,2015-08-11,174582980.28945923
102003,GYRO,2015-08-23,117378838.04664612
84335,GRC,2015-09-27,612921077.6270409
82843,FSTR,2015-10-05,156132519.43147373
83002,ATEC,2015-10-05,384552951.40457153
81375,GNSS,2015-10-09,60139349.50878382
104479,FENX,2015-11-17,119149814.02003384
82518,OOMA,2015-11-27,115354394.78841877
101043,TWER,2016-02-07,1007756080.9145813
99233,DST,2016-03-04,1872265468.597412
82056,BCRX,2016-03-15,187009346.50301933
101470,BBOX,2016-04-10,199739402.86445618
85416,IPWR,2016-04-25,495091287.30801773
89521,ENSV,2016-05-02,325848772.6156616
85289,DRIO,2016-05-03,572059937.2922592
101656,TSRO,2016-05-17,1735655855.6162071
99295,ATNM,2016-06-13,615756450.1105957
102042,HTM,2016-07-01,542309997.8031039
98417,XRM,2016-07-05,102784580.00147057
97724,CORI,2016-07-11,89436044.0
100293,BBRG,2016-10-08,70990731.43548393
82311,ZVRA,2016-10-16,951129785.8763885
99585,SYNT,2017-01-20,1777242793.75
104960,RMGN,2017-02-07,101794432.80826545
84211,CTSO,2017-07-14,144890030.583066
133695,KLDX,2017-07-31,566261771.7172909
85978,EKSO,2017-11-06,1600191957.8552246
92167,USAU,2017-12-09,53015177.543792725
144934,MOMT,2018-01-19,271593105.0
84275,HL,2018-02-05,1454005301.0964468
81827,VECO,2018-02-11,726980699.9656372
102873,IVTY,2018-05-15,67265846.45446944
87345,COGT,2018-06-02,510402900.0
98453,GRWC,2018-07-20,203897434.79400873
83308,IMXI,2018-08-28,74770514.9711132
86996,REPL,2018-09-22,93639973.32040787
97527,DCOM,2018-10-08,1181474194.0697136
97649,CCEL,2018-10-12,55208955.239910126
101326,TPL,2018-12-10,477199181.09223557
129555,SCOO,2019-01-26,52919999.59945679
85033,LFCR,2019-03-09,329376789.5107269
85122,WT,2019-04-05,1026244923.7260818
81337,SNDA,2019-05-06,1979422752.5100708
81920,STRR,2019-05-14,306679618.54761505
83041,HOFT,2019-06-21,217425652.61650085
82511,INMB,2019-07-01,104395986.04722118
169164,WTRE,2019-07-01,694322817.5945282
82040,FIX,2019-09-27,1629475402.4505615
81709,SGRY,2019-10-18,384338317.9685879
84389,HRTX,2019-12-02,1690817534.9292755
81659,ASIX,2020-01-25,516144220.3408146
86774,CLRO,2020-02-08,237815738.83400726
133887,CLPR,2020-02-09,199524323.00212097
85503,MNPR,2020-02-16,576393300.3172417
85342,EDSA,2020-03-08,141834442.33727264
82462,BDTX,2020-04-03,854674751.6023064
81836,WNEB,2020-04-05,144200842.5795207
84197,R,2020-04-24,1500308118.9797287
81696,ABR,2020-04-25,411423702.0
84829,EAT,2020-04-25,595124995.7084656
81982,AX,2020-05-09,1315352838.0882263
81679,PMT,2020-05-17,895629067.3418646
84636,BRBS,2020-06-05,58534585.76379776
85483,ALXO,2020-09-19,118317104.49295044
83413,UHT,2020-09-28,789385271.967453
83243,CFFN,2020-10-02,1498513243.9415932
196299,SCPS,2021-04-17,118586080.78003979
87588,MRKR,2021-05-15,1023679982.5668335
84870,BMEA,2021-06-14,246815248.0688343
83398,CLSK,2021-08-31,478831620.0181074
91618,ABSI,2021-09-24,247419525.8096075
84592,CADL,2021-09-25,116497661.35028839
83001,SNAX,2021-10-18,239553004.7225952
83066,COCO,2021-12-24,600595591.5557098
84844,UTRS,2021-12-25,302378592.0
81718,SONX,2022-01-01,1450304640.0
85133,CALA,2022-01-09,890702025.9895325
86420,MRAI,2022-02-12,75508026.31657028
82137,CTRN,2022-02-13,596740989.9002686
82907,AREC,2022-02-14,110101786.09929562
87567,NXPL,2022-03-06,185316090.0
81230,NYC,2022-03-20,163980069.36505508
84884,ACLX,2022-04-09,461843629.4205017
84933,PRSO,2022-05-10,1398902465.8813477
82777,STC,2022-05-14,1517436881.7939148
84820,IESC,2022-07-02,632684373.4231224
83999,KYMR,2022-07-04,1093972753.6780796
81997,CUBI,2022-07-05,1086169188.8289948
84473,SGC,2022-07-05,293398693.3501854
83140,SFST,2022-07-08,355041724.92892456
84764,SKYX,2022-07-11,231002427.3701372
83707,UGRO,2022-07-12,1470570780.0
84194,TKNO,2022-07-12,258340447.44407272
88932,EFTR,2022-08-06,843584844.4506531
83767,TUSK,2022-08-07,183571613.0144596
85390,EP,2022-08-23,314787547.7839737
81922,IE,2022-08-29,884408042.5262451
85460,FIP,2022-10-01,238529930.27832747
82420,BOOT,2022-10-04,1875142137.4887085
81998,UFCS,2022-10-07,733322076.9156189
85486,RCKY,2022-10-10,143781250.70543098
81362,LBSR,2022-10-11,224770607.93158114
83276,SMMT,2022-10-15,233532556.2801808
87761,KTTA,2022-10-16,663717200.0
82394,BKYI,2022-10-23,1995213888.0
81374,WEST,2022-10-29,798261642.288208
83686,BIAF,2022-10-30,703059000.0
85217,ADTN,2022-10-31,1743322668.937683
85096,LAKE,2022-11-11,95304919.0707779
81962,SPRU,2022-11-14,1450139653.9841194
82790,PLAY,2022-12-10,1674701381.0827255
82841,ASTC,2022-12-13,185414290.0
82546,VRNS,2023-01-02,704417159.2142582
81463,NLCP,2023-01-10,344601461.8649082
83464,WRAP,2023-01-13,92532550.5
84863,KRT,2023-01-13,302093609.25
82802,AIRS,2023-01-14,277087967.9812517
83978,CRSR,2023-01-14,1428695532.9418182
81213,TMCI,2023-01-16,1439650367.119793
85383,KORE,2023-01-16,591245492.75
83867,OLB,2023-01-17,157319999.9956627
82985,HTLD,2023-02-10,1267744237.8425598
88152,MARA,2023-02-11,861750233.825798
85248,PRPO,2023-02-18,390589794.92536926
84639,BTMD,2023-03-10,258917678.95376396
84772,FBIO,2023-04-11,1201678859.5976658
83330,CHCT,2023-05-08,955848148.0636597
82837,ORMP,2023-05-12,113115037.52053261
81812,ALT,2023-05-22,220244134.6976838
87365,AMPE,2023-07-10,253335758.13839436
81222,QNST,2023-07-14,485402388.1399908
82389,OUST,2023-07-15,239069944.20006752
83502,PRAA,2023-07-16,887093768.9208984
85924,SHFS,2023-07-21,508918487.0
254693,BLTH,2023-07-21,744402855.0
84404,EPSN,2023-07-25,159353042.2401309
84937,IBRX,2023-07-31,969482594.4129689
82097,ZUMZ,2023-08-04,370824466.39823914
91761,KGS,2023-09-01,1090319972.9919434
84483,MLKN,2023-09-15,1352687013.2066727
88053,ILPT,2023-09-25,199452717.95033455
81840,SABR,2023-10-07,1472297083.4255219
84673,EMBC,2023-10-09,841767178.5951004
83794,SKIN,2023-10-15,673451490.3257732
82512,FWRD,2023-10-16,1907461189.7786407
90002,BRID,2023-10-22,98846703.59628296
91454,CDIO,2023-10-23,90509543.7509656
83191,MGNX,2023-10-29,307663366.2062149
85395,MODD,2023-10-29,560690707.5
91828,INBS,2023-10-30,64319013.28897667
82665,CDXS,2023-11-07,121498980.66592216
82549,CNTY,2023-11-10,136012491.45906973
82487,AMPY,2023-11-11,245314743.87571335
82817,FTCI,2023-11-12,549799596.3165851
83279,HURC,2023-11-12,126528661.546978
82306,ASTI,2023-11-27,50032028.06198883
84926,INTZ,2023-11-27,87026402.44102478
83650,ASPI,2023-12-25,70560659.84000874
84780,TBI,2023-12-25,485294078.26698685
82435,LXFR,2023-12-30,258759347.85461426
86751,PETS,2024-01-02,160398400.00556374
95482,HG,2024-01-13,1573189778.9319878
85672,HTCR,2024-01-14,237606658.04914474
81750,ATNI,2024-01-19,559883585.0630188
95012,NKGN,2024-01-19,57568009.38499451
84068,PAYS,2024-03-23,173331588.45025063
246088,GUTS,2024-04-06,352521249.27492714
85787,AZTR,2024-04-13,1008162505.0
81479,DCGO,2024-05-13,325358333.037256
244053,BTSG,2024-05-13,1924179933.1776295
91696,XELB,2024-05-14,132280209.69040918
214616,CORZ,2024-05-14,652408446.0964203
84721,MCFT,2024-06-09,351260756.3327637
81888,ETST,2024-06-16,72415669.21365961
84025,ATOM,2024-06-28,102431848.46162796
94872,VSTS,2024-07-02,1505109665.5277824
84221,SHEN,2024-07-06,835402293.0583954
82926,DLX,2024-07-07,950512676.6395569
81678,BGS,2024-07-12,622925766.0067253
81219,INVE,2024-07-16,100102859.10987854
85151,GNLX,2024-07-28,59122862.144765854
86051,STRW,2024-07-30,75940282.43947601
101134,FF,2024-08-02,226693591.22754145
95571,SOAR,2024-08-05,298751108.05633736
253511,PAPL,2024-09-15,114911664.0
85318,CDLX,2024-10-11,1426235260.6201172
84743,GRWG,2024-10-12,126089878.01710534
250912,LUCY,2024-10-18,89061751.37240982
83885,XPER,2024-10-20,429595738.2822037
83340,MERC,2024-11-02,430514003.8251877
222891,VEEE,2024-11-10,1799946469.7265625
83334,VRDN,2024-11-12,241748434.86915588
81682,GDOT,2024-11-22,543806315.6661987
247212,IBTA,2024-11-26,659048228.314476
249257,UMAC,2024-12-29,158386790.36130333
